
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.53.08:822', 'MatchStartLineNumber': '2429', 'MatchCancel': '2021.01.19-22.55.06:945', 'MatchCancelLineNumber': '2585'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.02.33:114', 'MatchStartLineNumber': '2805', 'MatchCancel': '2021.01.19-23.03.35:440', 'MatchCancelLineNumber': '2955'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.04.20:397', 'MatchStartLineNumber': '3112', 'MatchCancel': '2021.01.19-23.05.11:802', 'MatchCancelLineNumber': '3278'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.06.08:024', 'MatchStartLineNumber': '3437', 'MatchCancel': '2021.01.19-23.06.20:769', 'MatchCancelLineNumber': '3560'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.06.08:024', 'MatchStartLineNumber': '3437', 'MatchCancel': '2021.01.19-23.06.20:769', 'MatchCancelLineNumber': '3560'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.06.08:024', 'MatchStartLineNumber': '3437', 'MatchCancel': '2021.01.19-23.06.20:769', 'MatchCancelLineNumber': '3560'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.06.08:024', 'MatchStartLineNumber': '3437', 'MatchCancel': '2021.01.19-23.06.20:769', 'MatchCancelLineNumber': '3560'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-23.16.32:617', 'MatchStartLineNumber': '3718', 'MatchCancel': '2021.01.19-23.17.28:191', 'MatchCancelLineNumber': '3872'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-10.38.39:495', 'MatchStartLineNumber': '959', 'MatchCancel': '2021.01.20-10.57.06:676', 'MatchCancelLineNumber': '2105'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-10.57.49:405', 'MatchStartLineNumber': '2283', 'MatchCancel': '2021.01.20-11.16.51:340', 'MatchCancelLineNumber': '3206'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-11.19.01:089', 'MatchStartLineNumber': '3408', 'MatchCancel': '2021.01.20-11.33.50:349', 'MatchCancelLineNumber': '4945'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-11.34.25:097', 'MatchStartLineNumber': '5125', 'MatchCancel': '2021.01.20-11.34.36:135', 'MatchCancelLineNumber': '5253'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-11.35.20:117', 'MatchStartLineNumber': '5407', 'MatchCancel': '2021.01.20-11.45.41:736', 'MatchCancelLineNumber': '6203'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-11.46.03:008', 'MatchStartLineNumber': '6361', 'MatchCancel': '2021.01.20-12.01.31:652', 'MatchCancelLineNumber': '7884'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-12.02.11:270', 'MatchStartLineNumber': '8092', 'MatchCancel': '2021.01.20-12.21.45:203', 'MatchCancelLineNumber': '14996'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-12.22.01:020', 'MatchStartLineNumber': '15152', 'MatchCancel': '2021.01.20-12.38.40:967', 'MatchCancelLineNumber': '16579'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-12.39.12:044', 'MatchStartLineNumber': '16773', 'MatchCancel': '2021.01.20-12.40.53:557', 'MatchCancelLineNumber': '17004'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-7916.log', 'MatchStart': '2021.01.20-12.41.19:782', 'MatchStartLineNumber': '17156', 'MatchCancel': '2021.01.20-13.01.21:441', 'MatchCancelLineNumber': '18602'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-24012.log', 'MatchStart': '2021.01.20-15.49.50:469', 'MatchStartLineNumber': '853', 'MatchCancel': '2021.01.20-15.50.58:562', 'MatchCancelLineNumber': '994'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-28744.log', 'MatchStart': '2021.01.20-17.24.32:991', 'MatchStartLineNumber': '1165', 'MatchCancel': '2021.01.20-17.40.21:552', 'MatchCancelLineNumber': '2519'}
